date,department,room_type,channel,segment,shift,building,cost,revenue,satisfaction,wait_time,rev_per_cust,food_cost,clean_time,adr,booking_lead_time,labor_cost,productivity,profit_margin,revpar_estimate,occupancy_rate
2024-01-01,Revenue Mgmt,Standard,Online,Affaires,Dîner,Aile Nord,8951.640162425127,17698.133183063255,58.186447893958544,16.27769781546199,42.66471179785407,31.214125097079723,84.42809417064542,74.23784815667868,68,1972.7038781666377,81.12452525785969,49.42042717255818,132.07562076912876,62.72238145392264
2024-01-02,RH,Standard,Téléphone,Affaires,Dîner,Aile Sud,5149.006589186038,7476.920534116349,64.97115624015532,2.655873274910115,18.97111433796371,46.99884144289112,72.79063867102354,137.80425490962202,17,1776.5534160560912,100.98925757308717,31.13466211534951,47.623697669530884,89.08658708465005
2024-01-03,Housekeeping,Suite,Walk-in,Groupes,Déjeuner,Aile Nord,14136.420201118424,6410.7127518591315,55.00774987533835,4.2057518229488355,27.920472976984115,19.204539683793993,26.000713689019808,259.3099998788648,81,1917.4714642662211,136.30269481496236,-120.51245701219115,36.424504271926885,94.77152139786324
2024-01-04,RH,Deluxe,Online,Affaires,Déjeuner,Aile Sud,12462.36321277671,23188.59007371753,63.58587994490898,7.362292286691142,118.56674190913701,31.443239249885,20.46738890790558,66.699269315543,92,750.9376653144269,91.66700832063705,46.256485740796144,136.40347102186783,52.1329052475384
2024-01-05,RH,Standard,Walk-in,Affaires,Déjeuner,Aile Sud,14769.940891191283,8802.575326374114,90.79778947076034,14.466157246582108,48.09775742461504,59.56087831682596,64.06493085941864,285.58587691783936,94,300.5937202169804,124.3865280888171,-67.79113320323269,49.45267037288828,72.57699627688677
2024-01-06,Restauration,Suite,Online,Loisirs,Déjeuner,Aile Nord,4635.391745305796,21425.003091194085,68.91578035826298,13.564277036961808,27.106614485600183,42.76577328447205,54.790653246158705,296.5792105680032,40,457.8590592499552,135.63740982148022,78.36456907111956,389.54551074898336,78.21393832992882
2024-01-07,Housekeeping,Deluxe,Téléphone,Loisirs,Dîner,Aile Nord,14576.130859171679,15892.617422142715,54.41984835733792,24.191063998080946,26.23408242333545,51.27462242178592,73.17388910342046,72.14204345627002,87,1050.9403006455664,81.00163558218489,8.283635904661082,125.13871985939146,71.30964846183069
2024-01-08,Housekeeping,Standard,Online,Loisirs,Déjeuner,Aile Sud,7037.27417708181,6557.1303921753915,67.11127623894522,22.444764962639287,90.54329660534705,27.816618360830017,69.10440400629491,122.81813056393425,46,1607.136388719312,89.27501835387099,-7.322468155877655,75.3693148525907,66.04458365181517
2024-01-09,Housekeeping,Deluxe,Online,Loisirs,Déjeuner,Aile Nord,5865.263134392565,24108.96382876135,99.069166712064,13.363230525730337,104.72970972342729,47.23235077192204,60.0169227086012,143.10016650883904,88,385.2919239493629,85.65562236883562,75.67185725586654,146.11493229552332,51.51853035155427
2024-01-10,RH,Suite,Walk-in,Affaires,Déjeuner,Aile Nord,1704.8933775709454,9939.22333983785,81.48417976296014,10.677422019693267,41.97999144838934,7.228004511772701,88.91057373031137,244.09784216318153,93,1353.4899112954386,133.2855808617921,82.8468148941026,65.82267112475398,69.29316155195431
2024-01-11,Revenue Mgmt,Standard,Walk-in,Groupes,Déjeuner,Aile Nord,1738.7136100344367,22192.90690705213,70.80804732030789,10.177594737783458,17.195498795199672,11.760115039823475,52.68717840883269,198.98170302918345,4,714.7974476750725,54.434686195360115,92.16545350585896,389.3492439833707,64.07288966267973
2024-01-12,Housekeeping,Deluxe,Téléphone,Affaires,Dîner,Aile Nord,10688.157583253165,8376.200115691283,58.3269256748635,23.44585753152626,38.42445193676236,16.16888261060342,19.04846052013759,211.09142512314185,38,748.2839375450917,80.842108882868,-27.601507075157528,65.9543316196164,87.73380175013618
2024-01-13,RH,Standard,Online,Affaires,Dîner,Aile Sud,7411.005922076391,22078.857642837058,99.30883986418473,2.5100997804168226,20.93414753365952,27.107355853837074,76.26188518527907,239.3774557046265,63,1357.64368730006,117.94085575951298,66.43392497038583,137.13576175675192,85.81626154977971
2024-01-14,Restauration,Deluxe,Online,Affaires,Dîner,Aile Sud,4171.30276450548,5264.57625810588,91.04245046315643,1.371827835807569,25.856468346154358,51.51596830791697,30.14826898765672,79.49474985925643,29,987.2988971131184,106.54434995653426,20.766600007305133,26.723737350791268,48.03992087234025
2024-01-15,Revenue Mgmt,Suite,Online,Loisirs,Déjeuner,Aile Sud,9595.584288553257,15235.609131389614,64.07386512254597,24.070787365872793,60.30835258400245,24.044632793336177,72.18417185151347,258.3023642275656,19,1642.8632567493885,93.62893592936942,37.01870266031129,146.49624164797706,45.31114315378406
2024-01-16,Restauration,Suite,Téléphone,Loisirs,Dîner,Aile Sud,4540.013655501556,20388.851588431135,53.50343478605947,14.83724490368243,39.14142894047142,41.00416564335046,86.56856768000411,226.404951045036,91,396.2451683593714,103.99482272213844,77.7328623154155,210.19434627248592,94.48923659365018
2024-01-17,Revenue Mgmt,Standard,Téléphone,Loisirs,Déjeuner,Aile Nord,9086.844560821915,23695.910349855665,52.831277868877905,4.795553018053703,69.17431724516945,44.01228621419159,65.74364111714729,194.33543129909256,29,1600.901712557373,69.75845858283182,61.652266460076035,172.96284926901944,72.13050333786987
2024-01-18,RH,Deluxe,Téléphone,Groupes,Dîner,Aile Nord,6028.922457757665,23184.04272412974,56.01890747527669,7.831412103240536,41.61684409200499,37.24002947485878,57.682412875984085,272.4338336957642,100,222.04697130909966,93.07166216080104,73.99537893586256,392.94987668016506,91.46805623695545
2024-01-19,Réception,Standard,Téléphone,Affaires,Dîner,Aile Sud,12529.731172565467,21392.4973909529,79.03842918072108,28.042614639824095,113.7564166158095,24.64830824935749,46.830894054003245,225.07658847095178,35,468.7023724666495,100.17029841763491,41.429320085534215,211.80690486091981,43.489067233984066
2024-01-20,Revenue Mgmt,Standard,Téléphone,Groupes,Dîner,Aile Sud,12489.74625073491,22763.82699322608,96.43817106027461,25.92558629312204,110.12411663225778,36.73793379424494,39.15278927963226,100.42499065775635,116,1346.6844575560142,140.11891219546015,45.13336332044901,274.26297582200095,71.59093699129781
2024-01-21,Restauration,Deluxe,Walk-in,Loisirs,Dîner,Aile Nord,7682.905573713619,8984.39371674153,74.83717140029923,21.583766456495205,74.51464102609893,23.824607603436043,38.2403800777469,157.43634526891668,70,1724.3587473710354,76.08351628039763,14.486098718077287,81.67630651583208,72.36559087457418
2024-01-22,RH,Deluxe,Online,Groupes,Dîner,Aile Sud,5911.467530690218,10683.685914234575,92.14727412280986,14.98453167978247,52.21451915867555,9.613055620360665,60.909816456767246,173.51071673393332,23,580.0912927047632,136.78285021649327,44.66827667767748,55.355885565982256,91.642121952529
2024-01-23,Revenue Mgmt,Deluxe,Online,Affaires,Déjeuner,Aile Sud,6075.837151827323,10779.370498421169,72.2943309929904,16.089385159550186,55.020422613647234,59.60421880023079,70.10184935501968,63.804406687601414,103,721.6640510749346,114.42414008259819,43.63458281058956,84.21383201891538,45.85659989378245
2024-01-24,Réception,Suite,Online,Affaires,Dîner,Aile Nord,12280.00335935505,12541.078620033975,85.42917728839126,29.2820915232348,58.244489730172184,11.9950349497881,64.28136555875315,288.659378340014,46,1120.5294217448059,52.0340831067601,2.081760816504772,187.18027791095486,54.42673382055456
2024-01-25,Réception,Standard,Online,Loisirs,Déjeuner,Aile Sud,5594.512759166568,12866.413407703774,86.59363686432505,29.007342872644326,91.39582882416913,8.979161110983155,25.87280809548502,82.14431519921962,44,501.9883323296744,122.46313368993937,56.51847502570647,107.22011173086479,64.39229883322079
2024-01-26,Housekeeping,Standard,Online,Loisirs,Déjeuner,Aile Nord,3926.831231895844,15891.10649309351,58.69818529516694,7.242802327789194,62.42209452947798,53.319191206393576,49.51897441147929,224.3653168066817,48,1641.1968970162607,53.55518775490551,75.28912644564744,117.71189994884081,91.95048852519653
